Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
Lake Geneva;2018;Professional, scientific and technical services;No management;6 635;6 491;6 853; 362
Lake Geneva;2018;Other business services;No management;4 985;4 728;5 060; 332
Lake Geneva;2018;Health and social work;No management;5 783;5 699;6 052; 353
Lake Geneva;2018;Arts, entertainment and recreation;No management;5 882;6 123;5 677;- 446
Lake Geneva;2018;Other service activities Other service activities;No management;5 404;5 100;6 000; 900
Lake Geneva;2016;TOTAL;Total ;6 184  ;5 777  ;6 414  ; 637
Lake Geneva;2016;SECTOR 2 PRODUCTION;Total ;6 423  ;6 000  ;6 504  ; 504
Lake Geneva;2016;Mining and quarrying;Total ;6 412 ;*;6 346  ;#WERT!
Lake Geneva;2016;Manufacturing/production of Goods;Total ;6 693  ;6 000  ;6 952  ; 952
Lake Geneva;2016;"Water supply; sewage and waste disposal";Total ;5 488  ;5 770  ;5 448  ;- 322
Lake Geneva;2016;Construction ;Total ;6 189  ;5 971  ;6 212  ; 241
Lake Geneva;2016;SECTOR 3 SERVICES ;Total ;6 023  ;5 724  ;6 323  ; 599
Lake Geneva;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 500  ;5 000  ;5 848  ; 848
Lake Geneva;2016;Transportation and storage;Total ;5 619  ;5 663  ;5 616  ;- 47
Lake Geneva;2016;Hotels and restaurants;Total ;4 236  ;4 046  ;4 411  ; 365
Lake Geneva;2016;Information and communication;Total ;8 357  ;7 116  ;8 750  ;1 634
Lake Geneva;2016;Financial and insurance services;Total ;9 948  ;8 170  ;11 501  ;3 331
Lake Geneva;2016;Professional, scientific and technical services;Total ;7 749  ;7 069  ;8 357  ;1 288
Lake Geneva;2016;Other business services;Total ;5 196  ;4 884  ;5 268  ; 384
Lake Geneva;2016;Health and social work;Total ;6 124  ;5 923  ;6 765  ; 842
Lake Geneva;2016;Arts, entertainment and recreation;Total ;6 356  ;6 282  ;6 380  ; 98
Lake Geneva;2016;Other service activities Other service activities;Total ;5 983  ;5 174  ;7 257  ;2 083
Lake Geneva;2016;TOTAL;Top, upper,  middle management;10 520  ;8 953  ;11 141  ;2 188
Lake Geneva;2016;SECTOR 2 PRODUCTION;Top, upper,  middle management;9 676  ;9 280 ;9 750  ;#WERT!
Lake Geneva;2016;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!
Lake Geneva;2016;Manufacturing/production of Goods;Top, upper,  middle management;10 883 ;10 847  ;10 909 ;#WERT!
Lake Geneva;2016;"Water supply; sewage and waste disposal";Top, upper,  middle management;8 773  ;*;8 905  ;#WERT!
Lake Geneva;2016;Construction ;Top, upper,  middle management;8 552  ;7 164 ;8 778  ;#WERT!
Lake Geneva;2016;SECTOR 3 SERVICES ;Top, upper,  middle management;10 753  ;8 938  ;11 736  ;2 798
Lake Geneva;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;9 198  ;8 000  ;9 935  ;1 935
Lake Geneva;2016;Transportation and storage;Top, upper,  middle management;8 983 ;8 252 ;9 467 ;#WERT!
Lake Geneva;2016;Hotels and restaurants;Top, upper,  middle management;5 673  ;4 921 ;6 069  ;#WERT!
Lake Geneva;2016;Information and communication;Top, upper,  middle management;11 110  ;9 174 ;11 348  ;#WERT!
Lake Geneva;2016;Financial and insurance services;Top, upper,  middle management;17 446  ;15 563  ;18 158  ;2 595
Lake Geneva;2016;Professional, scientific and technical services;Top, upper,  middle management;11 496  ;10 102 ;11 931  ;#WERT!
Lake Geneva;2016;Other business services;Top, upper,  middle management;9 369  ;8 252  ;10 289  ;2 037
Lake Geneva;2016;Health and social work;Top, upper,  middle management;9 638  ;8 799  ;10 622  ;1 823
Lake Geneva;2016;Arts, entertainment and recreation;Top, upper,  middle management;9 000 ;8 147 ;9 227 ;#WERT!
Lake Geneva;2016;Other service activities Other service activities;Top, upper,  middle management;9 984  ;8 679 ;10 796 ;#WERT!
Lake Geneva;2016;TOTAL;Lower management;8 693  ;8 077  ;9 006  ; 929
Lake Geneva;2016;SECTOR 2 PRODUCTION;Lower management;8 511  ;8 131  ;8 589  ; 458
Lake Geneva;2016;Mining and quarrying;Lower management;*;*;*;#WERT!
