Region;Year;Nationality;Professional position;Statistics;Total;Women;Men;Gender Pay Gap
Midlands;2018;Other;Lower management;Median;7 928;7 240;8 180; 940
Midlands;2018;Other;Lower management;1 Quantile;6 030;5 365;6 371;1 006
Midlands;2018;Other;Lower management;3 Quantile;10 106;9 723;10 238; 515
Midlands;2018;Total;Lowest management;Median;6 551;6 139;6 714; 575
Midlands;2018;Total;Lowest management;1 Quantile;5 589;5 067;5 804; 737
Midlands;2018;Total;Lowest management;3 Quantile;7 662;7 271;7 843; 572
Midlands;2018;Swiss;Lowest management;Median;6 648;6 239;6 810; 571
Midlands;2018;Swiss;Lowest management;1 Quantile;5 722;5 256;6 028; 772
Midlands;2018;Swiss;Lowest management;3 Quantile;7 702;7 297;7 950; 653
Midlands;2018;Other;Lowest management;Median;6 104;5 602;6 274; 672
Midlands;2018;Other;Lowest management;1 Quantile;5 219;4 722;5 414; 692
Midlands;2018;Other;Lowest management;3 Quantile;7 503;7 146;7 597; 451
Midlands;2018;Total;No management;Median;5 778;5 362;6 017; 655
Midlands;2018;Total;No management;1 Quantile;4 846;4 526;5 151; 625
Midlands;2018;Total;No management;3 Quantile;6 891;6 478;7 175; 697
Midlands;2018;Swiss;No management;Median;5 956;5 571;6 221; 650
Midlands;2018;Swiss;No management;1 Quantile;5 016;4 690;5 373; 683
Midlands;2018;Swiss;No management;3 Quantile;7 097;6 622;7 501; 879
Midlands;2018;Other;No management;Median;5 341;4 759;5 606; 847
Midlands;2018;Other;No management;1 Quantile;4 508;4 162;4 810; 648
Midlands;2018;Other;No management;3 Quantile;6 378;5 824;6 541; 717
Midlands;2016;Total;Total;Median;6 153 ;5 580 ;6 501 ; 921
Midlands;2016;Total;Total;1 Quantile;5 075 ;4 608 ;5 423 ; 815
Midlands;2016;Total;Total;3 Quantile;7 776 ;6 876 ;8 402 ;1 526
Midlands;2016;Swiss;Total;Median;6 352 ;5 745 ;6 808 ;1 063
Midlands;2016;Swiss;Total;1 Quantile;5 262 ;4 762 ;5 667 ; 905
