Year;Region;Industry;professional position category;Gross Pay Total ;Gross Pay Women ;Gross Pay Men ;Gender Pay Gap;;;;;;;;;;;
2016;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;9 198  ;8 000  ;9 935  ;1 935;;;;;;;;;;;
2016;Lake Geneva;Transportation and storage;Top, upper,  middle management;9 733 ;8 890 ;10 091 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Hotels and restaurants;Top, upper,  middle management;5 673  ;4 921 ;6 069  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Information and communication;Top, upper,  middle management;11 170  ;9 458 ;11 429  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Financial and insurance services;Top, upper,  middle management;17 189  ;15 251  ;17 944  ;2 693;;;;;;;;;;;
2016;Lake Geneva;Professional, scientific and technical services;Top, upper,  middle management;11 496  ;10 102 ;11 931  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Other business services;Top, upper,  middle management;10 000  ;8 412  ;10 742  ;2 330;;;;;;;;;;;
2016;Lake Geneva;Health and social work;Top, upper,  middle management;11 360  ;9 819  ;12 605  ;2 786;;;;;;;;;;;
2016;Lake Geneva;Arts, entertainment and recreation;Top, upper,  middle management;9 993  ;9 121 ;10 552 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Other service activities Other service activities;Top, upper,  middle management;9 959  ;8 679  ;10 805  ;2 126;;;;;;;;;;;
2016;Lake Geneva;TOTAL;Lower management;8 831  ;8 193  ;9 192  ; 999;;;;;;;;;;;
2016;Lake Geneva;SECTOR 2 PRODUCTION;Lower management;8 947  ;8 588  ;9 044  ; 456;;;;;;;;;;;
2016;Lake Geneva;Mining and quarrying;Lower management;*;*;*;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Manufacturing/production of Goods;Lower management;9 112  ;8 954  ;9 196  ; 242;;;;;;;;;;;
2016;Lake Geneva;"Water supply; sewage and waste disposal";Lower management;7 557 ;*;7 822  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Construction ;Lower management;7 192  ;6 645  ;7 222  ; 577;;;;;;;;;;;
2016;Lake Geneva;SECTOR 3 SERVICES ;Lower management;8 798  ;8 145  ;9 225  ;1 080;;;;;;;;;;;
2016;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;7 840  ;7 581  ;7 958  ; 377;;;;;;;;;;;
2016;Lake Geneva;Transportation and storage;Lower management;8 425 ;7 798 ;8 800 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Hotels and restaurants;Lower management;5 184  ;4 877  ;5 465  ; 588;;;;;;;;;;;
2016;Lake Geneva;Information and communication;Lower management;9 885  ;8 701  ;10 170  ;1 469;;;;;;;;;;;
2016;Lake Geneva;Financial and insurance services;Lower management;11 551  ;10 947  ;11 835  ; 888;;;;;;;;;;;
2016;Lake Geneva;Professional, scientific and technical services;Lower management;8 997 ;8 336 ;9 225 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Other business services;Lower management;7 731 ;7 731 ;7 760 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Health and social work;Lower management;8 912  ;8 359  ;9 632  ;1 273;;;;;;;;;;;
2016;Lake Geneva;Arts, entertainment and recreation;Lower management;8 748  ;8 304 ;9 344 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Other service activities Other service activities;Lower management;7 792  ;7 515 ;8 402 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;TOTAL;Lowest management;7 285  ;7 000  ;7 414  ; 414;;;;;;;;;;;
2016;Lake Geneva;SECTOR 2 PRODUCTION;Lowest management;7 161  ;7 202  ;7 145  ;- 57;;;;;;;;;;;
2016;Lake Geneva;Mining and quarrying;Lowest management;*;*;*;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Manufacturing/production of Goods;Lowest management;7 522  ;7 383  ;7 539  ; 156;;;;;;;;;;;
2016;Lake Geneva;"Water supply; sewage and waste disposal";Lowest management;6 258 ;*;6 258 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Construction ;Lowest management;6 777  ;6 499 ;6 786  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;SECTOR 3 SERVICES ;Lowest management;7 333  ;6 985  ;7 535  ; 550;;;;;;;;;;;
2016;Lake Geneva;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 218  ;6 000  ;6 302  ; 302;;;;;;;;;;;
2016;Lake Geneva;Transportation and storage;Lowest management;7 389  ;6 733 ;7 510  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Hotels and restaurants;Lowest management;4 828  ;4 398  ;4 962  ; 564;;;;;;;;;;;
2016;Lake Geneva;Information and communication;Lowest management;8 439  ;7 501  ;8 823  ;1 322;;;;;;;;;;;
2016;Lake Geneva;Financial and insurance services;Lowest management;9 451  ;8 815  ;9 988  ;1 173;;;;;;;;;;;
2016;Lake Geneva;Professional, scientific and technical services;Lowest management;7 802  ;7 593  ;8 052  ; 459;;;;;;;;;;;
2016;Lake Geneva;Other business services;Lowest management;6 804  ;6 630  ;6 818  ; 188;;;;;;;;;;;
2016;Lake Geneva;Health and social work;Lowest management;7 148  ;6 898  ;7 588  ; 690;;;;;;;;;;;
2016;Lake Geneva;Arts, entertainment and recreation;Lowest management;7 500  ;7 365 ;7 807  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Other service activities Other service activities;Lowest management;6 757  ;6 681  ;7 003 ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;TOTAL;No management;6 000  ;5 939  ;6 047  ; 108;;;;;;;;;;;
2016;Lake Geneva;SECTOR 2 PRODUCTION;No management;6 140  ;5 744  ;6 216  ; 472;;;;;;;;;;;
2016;Lake Geneva;Mining and quarrying;No management;5 989  ;*;5 955  ;#WERT!;;;;;;;;;;;
2016;Lake Geneva;Manufacturing/production of Goods;No management;6 233  ;5 628  ;6 450  ; 822;;;;;;;;;;;
